Mode,Page / Component,Vertical,Canonical input workbook,Canonical input tab,User-entered columns,Required format,Automated backend destination,Other consuming pages / components,Input ownership,Current new-UI runtime status,Required action
Self Drive,Despatch / exception queue,Governance,Backend-derived,Action_Log; Incident_Log; Evidence_Log; People_Roster,None,Automatic,Same canonical logs,Every Self Drive page; People,System,Contains illustrative execution and heartbeat data,Build queue exclusively from live logs and heartbeat tables
Self Drive,Your Sign-Off / decision queue,Governance,User Input / governed workflow,TEAM_REQ_APPROVAL_LOG; TEAM_REQ_EVIDENCE_LOG,Decision/evidence fields only at their governed step,IDs + decisions + protected refs,Approval_Log; Evidence_Log; Action_Log,Decision Room; domain approval cards,Mixed,ControlledAutonomy preview is synthetic in app/page.tsx,Use buildLiveControlledAutonomyPreview
Self Learn,Overview / flywheel and execution,All,Backend-derived,All canonical backend tables,None,Automatic,All canonical backend tables,All Self Learn and Self Drive pages,System,Uses static lib/ops-data.ts and execution-data.ts,Build one overview projection from opsDataMapper output
Self Learn,Living / FONO and Shram Park,Living + Enterprise Demand,User Input + Bot,Studios/TEAM_OCCUPANCY; Fono Funnel; Nia Demand Bot,Studios/FONO once; bot at source,Counts + dates + stages + IDs,Living_Hourly; Enterprise_Demand; Studio_Master,Overview; Member Adds; Nia Margins; Nia Growth,Mixed,Uses static lib/operating-data.ts,Pass live living/demand/studio rows into LivingScreen
Self Learn,Work / actuals,Work,Automated source,Work source connector,None,Automatic,Work_Hourly,Overview; Nia Margins,System,Shows empty state although Work_Hourly has live rows,Create live Work projection from Work_Hourly
Self Learn,Essentials / buying inventory savings,Essentials,Essentials Bot,Orders; Order_Items; Inventory_Master; Delivery_Status,None in User Input,Bot schema,Essentials_Hourly; Essentials_Inventory,Overview; Member Savings; Nia Margins,System/Bot,Uses static lib/operating-data.ts,Pass live Essentials rows into EssentialsScreen
Self Learn,Member NPS / feedback and score,Member Feedback,User Input,TEAM_MEMBER_FEEDBACK,One row per response,Score 0-10 + date + YYYY-MM,Member_NPS_Dashboard; Member_NPS_Feedback; Member_NPS_Responses,Member Engagement; Overview; Despatch,User once,Uses static member-feedback-data.ts,Use buildLiveMemberFeedbackModel and show truthful zero state
Self Learn,People / roster performance follow-through,People,User Input + system,TEAM_REQ_PEOPLE_ROSTER,Governed roster fields only,IDs + role + dates,People_Roster; People_Performance; People_Follow_Through,Despatch; ownership labels; approvals,Mixed,Uses static operating-data.ts and execution-data.ts,Pass canonical People tables and actions into PeopleScreen
Self Learn,Learning history / recommendations,Learning + Governance,User Input / governed workflow,TEAM_LEARNING_HISTORY,Observed/proposed/effect/attribution/confidence/disposition once,Text + YYYY-MM + IDs,Learning_History; Policy_Registry; Approval_Log,All domain learning sections; Your Sign-Off,Mixed,Derived from synthetic ControlledAutonomy preview,Use canonical Learning_History with live approvals/policies
All,Shared owner labels,Ownership,User Input,TEAM_OWNER_REGISTRY,One active assignment per vertical/scope/theatre,IDs + effective dates + status,Owner_Registry; People_Roster; owner-bearing backend tabs,Every page displaying owner,System cascade after one input,LIVE backend cascade works,Keep one canonical owner assignment and never enter owner separately on presentation pages
All,Reporting period,Calendar,User Input,reporting month columns,Enter once on source row,YYYY-MM,All period-aware backend tables,Every filtered page/component,User once,LIVE backend filtering works,Remove hardcoded Jul 2026 label and derive from selected/snapshot period
